id,label,acceptanceArea,ownerRole,completionStatus,verificationCommands,remainingEvidenceRequired,blockedLiveActions
"repo-audit-and-current-state","Repo audit and current-state inventory","Repo Audit","Master Admin","preview_complete","npm run audit:dynamo-goal; npm run verify:dynamo","","goal completion claim"
"existing-lc-site-preservation","Existing LC Training site preservation","Current Site Preservation","Master Admin","preview_complete","BASE_URL=<current-production-url> npm run test -- --run; BASE_URL=<current-production-url> npm run qa:dynamo-browser","Production current-site route snapshot before any root promotion; Rollback deployment id or previous production target","root route promotion; permanent redirects; noindex removal"
"isolated-detroit-dynamo-shell","Isolated Detroit Dynamo parallel shell","Preview Architecture","Master Admin","preview_complete","BASE_URL=<preview-url> npm run verify:dynamo; BASE_URL=<preview-url> npm run qa:dynamo-browser","","root route promotion"
"brand-system-and-assets","Detroit Dynamo brand system, logo assets, and metadata","Brand/SEO Preview","Media/Admin Staff","preview_complete","BASE_URL=<preview-url> npm run verify:dynamo; BASE_URL=<preview-url> npm run qa:dynamo-browser","Owner approval of final favicon, Open Graph image, canonical URL, and noindex removal timing","noindex removal; root route promotion; sitemap publication"
"public-site-pages-and-pathway","Full public Detroit Dynamo site structure and player pathway","Public Website","Club Director","preview_complete","BASE_URL=<preview-url> npm run test -- --run; BASE_URL=<preview-url> npm run verify:dynamo","Owner-approved final copy for league, facility, roster, staff, sponsor, testimonial, and news claims","league claim publication; facility publication; roster publication; sponsor logo publication"
"public-lead-forms-and-routing","Validated public lead forms and routing","Forms/Lead System","Registrar","preview_complete","BASE_URL=<preview-url> npm run qa:dynamo-browser; npm run verify:dynamo-intake-contract","Production-preview submission ids for each form after Appwrite intake is deployed","Appwrite intake default; public launch announcement"
"admin-data-model-foundation","Admin roles, modules, data models, and records foundation","Admin/Data Foundation","Master Admin","preview_complete","npm run plan:dynamo-appwrite; npm run verify:dynamo-admin-record-workspace; BASE_URL=<preview-url> npm run verify:dynamo","Live Appwrite records and role-scoped dashboard workflows for daily operations","protected admin live reads; protected admin live writes"
"backend-appwrite-scaffold","Appwrite schema and function scaffold","Backend/Data","Master Admin","preview_complete","npm run preflight:dynamo-backend; npm run provision:dynamo-appwrite; node scripts/configure-functions.mjs","Valid Appwrite credentials; Provisioned dd_* collections in the target Appwrite project; Deployed functions with production-preview invocation proof","Appwrite intake default; live lead routing; protected admin live writes"
"payments-and-packages","Payments, packages, and checkout readiness","Payments & Packages","Master Admin","external_evidence_required","npm run verify:dynamo-gate-contracts; npm run verify:dynamo-owner-signoff-register","Approved package matrix with prices, taxes, fees, refund rules, and payment provider product ids; Sandbox checkout, webhook, refund, failure, and audit proof","checkout activation; payment collection; package publication"
"waivers-legal-safeguarding","Waivers, legal, youth safeguarding, and privacy readiness","Waivers/Legal/Safeguarding","Registrar","external_evidence_required","npm run verify:dynamo-safeguarding; npm run verify:dynamo-gate-contracts","Approved legal waiver versions and signature workflow tests; Guardian/adult signature audit, export, expiration, and revocation proof; Approved terms, privacy, refund, support, and communications ownership","signature capture; medical intake; youth registration launch; sensitive admin mutations"
"league-facility-staff-sponsor-proof","League, facility, staff, roster, sponsor, and media proof","External Confirmation","Club Director","external_evidence_required","npm run verify:dynamo-claim-safety; npm run verify:dynamo-external-confirmation-actions","Confirmed league/facility status or owner-approved future-pathway wording; Staff, roster, sponsor logo, testimonial, media-release, and news proof approvals","league claim publication; facility publication; staff proof publication; roster publication; sponsor logo publication"
"seo-cutover-redirect-readiness","SEO, noindex, root promotion, redirects, and rollback","SEO/Cutover","Master Admin","external_evidence_required","npm run verify:dynamo-promotion-cutover; npm run verify:dynamo-deployment-readiness; BASE_URL=<production-preview-url> npm run verify:dynamo","Production-preview deployment id and URL; Owner-approved noindex removal, sitemap publication, canonical/root switch, redirect plan, and rollback target","root route promotion; noindex removal; permanent redirects; sitemap publication"
"verification-and-browser-qa","Lint, typecheck, build, smoke, full verifier, and browser QA","Verification","Master Admin","preview_complete","npm run lint; npm run typecheck; npm run build; BASE_URL=<preview-url> npm run qa:dynamo-browser","Production-preview rerun of the same commands after deployment","launch announcement; post-launch closeout"
"documentation-and-launch-handoff","Documentation and launch handoff artifacts","Documentation","Master Admin","preview_complete","npm run generate:dynamo-launch-assets; npm run verify:dynamo-launch-artifact-index","Owner review of generated handoffs before any live launch meeting","owner closeout; promotion decision"
"owner-final-signoff","Owner final signoff and go-live authority","Owner Decision","Master Admin","external_evidence_required","npm run verify:dynamo-owner-signoff-register; npm run verify:dynamo-live-readiness-board; npm run audit:dynamo-goal","Every owner signoff row signed by a named approver with evidence attached; Live readiness board converted from no-go to go only after evidence approval; Production deployment, form, payment, waiver, league/facility, SEO, redirect, and rollback proof attached","goal completion claim; root route promotion; checkout activation; signature capture; public claim publication; permanent redirects"
