id,title,category,ownerRole,format,artifactPath,generatedBy,verifyCommand,launchQuestion,blocksActions
"roadmap-doc","Rebrand Audit and Roadmap","Executive Summary","Master Admin","markdown","DETROIT_DYNAMO_REBRAND_AUDIT_AND_ROADMAP.md","manual documentation update","npm run audit:dynamo-goal","Does the handoff explain what was built, what remains external, and how it was verified?","owner closeout; promotion decision"
"goal-audit","Goal Audit Report","Executive Summary","Master Admin","json","artifacts/detroit-dynamo/goal-audit.json","npm run audit:dynamo-goal","npm run audit:dynamo-goal","Do implemented requirements still pass while external gates remain explicit?","goal completion claim; external gate closeout"
"final-acceptance-matrix","Final Acceptance Matrix","Executive Summary","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-final-acceptance-matrix.md","npm run verify:dynamo-final-acceptance","npm run verify:dynamo-final-acceptance","Does every original acceptance requirement have evidence and explicit remaining external gates?","goal completion claim; root route promotion; owner closeout"
"owner-launch-review","Owner Launch Review Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-launch-review.md","npm run verify:dynamo-owner-launch-review","npm run verify:dynamo-owner-launch-review","Has the owner reviewed every go/no-go launch section?","root route promotion; checkout activation; signature capture; public claim publication"
"owner-handoff-packet","Owner Handoff Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-handoff-packet.md","npm run verify:dynamo-owner-handoff-packet","npm run verify:dynamo-owner-handoff-packet","Does the owner have one redacted packet tying artifacts, commands, signoffs, evidence, and blocked live actions together?","owner launch decision; owner handoff distribution; goal completion claim; root route promotion"
"external-gate-closure","External Gate Closure Packet","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-external-gate-closure.md","npm run verify:dynamo-external-gate-closure","npm run verify:dynamo-external-gate-closure","Does every remaining external gate have a role owner, required evidence, verification command, and blocked live action?","external gate closeout; goal completion claim; root route promotion; checkout activation; signature capture"
"owner-evidence-intake","Owner Evidence Intake Worksheet","Owner Decision","Master Admin","csv","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-evidence-intake.csv","npm run verify:dynamo-owner-evidence-intake","npm run verify:dynamo-owner-evidence-intake","Has every evidence item been given a real location, approver, date, and decision?","owner launch decision; go-live row approval"
"owner-signoff-register","Owner Signoff Register","Owner Decision","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-owner-signoff-register.md","npm run verify:dynamo-owner-signoff-register","npm run verify:dynamo-owner-signoff-register","Are all owner and external approvals still unsigned until real evidence is attached?","owner launch decision; root route promotion; checkout activation; signature capture; public claim publication; permanent redirects"
"vercel-preview-runbook","Vercel Preview Deployment Runbook","Deployment","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-vercel-preview-runbook.md","npm run verify:dynamo-vercel-preview","npm run verify:dynamo-vercel-preview","Has a Vercel preview URL, deployment id, route QA, inspect summary, and rollback target been recorded without exposing secrets?","production deployment; root route promotion; permanent redirects; owner launch decision"
"secret-redaction","Secret Redaction Contract","Deployment","Master Admin","markdown","artifacts/detroit-dynamo/launch/detroit-dynamo-secret-redaction.md","npm run verify:dynamo-secret-redaction","npm run verify:dynamo-secret-redaction","Do generated handoffs and source files avoid local secret values and Vercel project identifiers?","owner handoff distribution; production promotion; checkout activation; live admin write activation"
