intake_id,checklist_item_id,review_section,owner_role,promotion_gate,confirmation_area,current_status,external_register_status,evidence_type,required_artifact,acceptance_criteria,verification_command,blocked_live_actions,evidence_location_to_fill,approver_name_to_fill,approval_date_to_fill,owner_decision_to_fill,notes_to_fill,safe_to_publish,live_gate_cleared,publication_unlocked
"owner-evidence-current-site-route-snapshot","current-site-route-snapshot","Current LC site preservation","Master Admin","Current LC site preservation","Current LC Site","preview_passed","internal_preview_review","verification_report","Current LC route smoke output, browser QA report, and rollback deployment id","Root, booking, auth, blog, team, LCFC, apply, terms, privacy, and admin routes still respond.; LC Training header/footer/navigation remain intact outside Detroit Dynamo routes.; A rollback deployment id or previous production build target is recorded before promotion.","BASE_URL=<production-preview-url> npm run test -- --run","root route promotion; permanent redirects; noindex removal","","","","not_recorded","","false","false","false"
"owner-evidence-backend-preflight-and-provisioning","backend-preflight-and-provisioning","Backend data activation","Master Admin","Data backend live","Backend/Data","evidence_required","internal_preview_review","backend_report","Backend preflight report plus Appwrite provision/apply transcript for isolated dd_* collections","Preflight passes without printing secrets.; All Detroit Dynamo dd_* collections, attributes, indexes, and permissions exist in the target Appwrite project.; Legacy LC Training collections are not mutated by the Dynamo provisioner.","npm run preflight:dynamo-backend && npm run provision:dynamo-appwrite -- --apply","Appwrite intake default; admin write mode default; live lead routing","","","","not_recorded","","false","false","false"
"owner-evidence-backend-function-production-preview","backend-function-production-preview","Backend data activation","Registrar","Data backend live","Backend/Data","evidence_required","internal_preview_review","function_smoke","Production-preview submission ids for every public form variant and authenticated admin action","Lead intake, pipeline action, module read, role grant, and module write functions are deployed with expected scopes.; Training, tryout, youth, senior men, senior women, sponsor, and contact forms create expected records.; Authenticated admin actions write audit events and reject unauthorized users.","npm run verify:dynamo-intake-contract && npm run verify:dynamo-pipeline-actions","default live intake; status mutation workflow; protected admin live writes","","","","not_recorded","","false","false","false"
"owner-evidence-payment-package-approval","payment-package-approval","Payments and packages","Master Admin","Payments approved","Payments & Packages","pending_confirmation","pending_confirmation","owner_signoff","Approved package matrix with prices, session counts, taxes/fees, refund rules, and provider product ids","Private, small-group, team-training, camp, tryout, youth dues, and sponsor packages are approved.; Provider product ids or invoice workflow ids are mapped to TrainingPackage, Payment, Booking, CampClinic, and Sponsor records.; Refund, cancellation, failed-payment, and settlement handling are documented.","npm run verify:dynamo-gate-contracts","checkout activation; payment collection; published exact pricing","","","","not_recorded","","false","false","false"
"owner-evidence-payment-provider-sandbox","payment-provider-sandbox","Payments and packages","Master Admin","Payments approved","Payments & Packages","evidence_required","pending_confirmation","provider_test","Successful sandbox payment, failure, refund/cancel, and webhook/audit test evidence","Checkout succeeds for approved training, camp, dues, and sponsor payment paths.; Failed, canceled, and refunded payments map cleanly to Payment records.; No public Dynamo payment surface is enabled without the approved package matrix.","Provider sandbox test plus npm run verify:dynamo-gate-contracts","payment provider live mode; camp checkout; dues/deposit collection","","","","not_recorded","","false","false","false"
"owner-evidence-waiver-legal-version-approval","waiver-legal-version-approval","Waivers and legal","Registrar","Waivers approved","Waivers & Legal","pending_confirmation","pending_confirmation","legal_signoff","Approved waiver/legal version register for youth, adult, medical, media, camp, and travel consent","Each waiver has approved language, version id, effective date, expiration rule, and owner/legal signoff.; Minor participation requires guardian signature coverage and data-retention rules.; Waiver requirements are mapped to tryouts, camps, training bookings, teams, and roster eligibility.","npm run verify:dynamo-gate-contracts && npm run verify:dynamo-safeguarding","signature capture; medical intake; roster eligibility clearance","","","","not_recorded","","false","false","false"
"owner-evidence-waiver-signature-workflow-test","waiver-signature-workflow-test","Waivers and legal","Registrar","Waivers approved","Waivers & Legal","evidence_required","pending_confirmation","workflow_test","Guardian/adult signature workflow test with audit trail, export, expiration, and revocation handling","Guardian and adult signature paths are tested on mobile and desktop.; Signed waiver records retain version, signer, timestamp, related player/program, and audit evidence.; Expired, revoked, or missing waivers block the correct admin workflows.","npm run verify:dynamo-safeguarding","youth registration launch; camp registration launch; senior tryout waiver enforcement","","","","not_recorded","","false","false","false"
"owner-evidence-league-competition-confirmation","league-competition-confirmation","League, competition, and facility facts","Club Director","League and facility facts confirmed","League & Competition Facts","future_pathway","future_pathway","official_confirmation","Official league, competition, fixture, roster, and staff confirmation documents or owner-approved public wording","No current UPSL, UPSL Women, youth league, roster, fixture, or result claim is published without confirmation.; Future-pathway language remains in place for unconfirmed leagues and teams.; Fixture, opponent, venue, competition, roster, and staff claims are individually approved before publication.","npm run verify:dynamo-claim-safety","league claim publication; fixture/result publication; roster/staff proof publication","","","","not_recorded","","false","false","false"
"owner-evidence-facility-operations-confirmation","facility-operations-confirmation","League, competition, and facility facts","Club Director","League and facility facts confirmed","Facilities & Operations","pending_confirmation","pending_confirmation","operations_confirmation","Facility permits/agreements, schedule windows, emergency procedures, insurance notes, and location publish approval","Training, tryout, camp, indoor, match, and youth-team locations are confirmed before publication.; Facility partner permissions, check-in instructions, weather/cancel rules, and emergency procedures are documented.; Address, parking, access, and schedule copy is approved before going public.","npm run verify:dynamo-claim-safety && npm run verify:dynamo-safeguarding","facility publication; camp date publication; tryout schedule publication","","","","not_recorded","","false","false","false"
"owner-evidence-staff-roster-safeguarding-confirmation","staff-roster-safeguarding-confirmation","League, competition, and facility facts","Club Director","League and facility facts confirmed","Staff, Rosters & Safeguarding","pending_confirmation","pending_confirmation","safeguarding_review","Staff approval, background/safeguarding status, roster publication approvals, and media-release coverage","Staff and coach profiles are approved before publication.; Youth player roster visibility follows guardian consent, media release, and safeguarding policy.; Team manager and coach access is scoped to assigned teams and verified through role grants.","npm run verify:dynamo-safeguarding && npm run verify:dynamo-admin-role-grants","staff proof publication; youth roster publication; team-manager sensitive access","","","","not_recorded","","false","false","false"
"owner-evidence-sponsor-media-proof-confirmation","sponsor-media-proof-confirmation","League, competition, and facility facts","Media/Admin Staff","League and facility facts confirmed","Sponsors, Media & Content Proof","pending_confirmation","preview_only","content_approval","Sponsor logo permissions, testimonial approvals, media releases, news proof, and publishing calendar","Sponsor logos, testimonials, photos, video, and outcome claims have permission before publication.; News/media proof is tied to approved source material.; Sponsor package activation promises match approved sponsorship inventory.","npm run verify:dynamo-claim-safety","sponsor logo publication; testimonial publication; player outcome publication","","","","not_recorded","","false","false","false"
"owner-evidence-seo-metadata-noindex-approval","seo-metadata-noindex-approval","SEO, redirects, and promotion cutover","Media/Admin Staff","SEO and redirect launch approved","Sponsors, Media & Content Proof","preview_only","preview_only","seo_signoff","Approved titles, descriptions, favicon, Open Graph asset, robots, sitemap, canonical URLs, and noindex removal approval","Detroit Dynamo metadata and social assets are approved for the public root brand.; Noindex removal is owner-approved and tied to the approved launch window.; Current LC Training root SEO is not overwritten before promotion approval.","BASE_URL=<production-preview-url> npm run verify:dynamo","noindex removal; root metadata replacement; sitemap publication","","","","not_recorded","","false","false","false"
"owner-evidence-redirect-cutover-and-postlaunch-qa","redirect-cutover-and-postlaunch-qa","SEO, redirects, and promotion cutover","Master Admin","SEO and redirect launch approved","Sponsors, Media & Content Proof","preview_only","preview_only","route_qa","Approved redirect plan, auth/payment/admin exclusions, post-cutover route QA, and rollback instructions","Old LC routes, auth routes, admin routes, and payment callbacks have explicit redirect/exclusion decisions.; Post-cutover browser QA passes on desktop and mobile.; Rollback instructions are documented before permanent redirects are applied.","BASE_URL=<production-url> npm run qa:dynamo-browser","permanent redirects; canonical alias migration; post-launch closeout","","","","not_recorded","","false","false","false"
