id,label,ownerRole,phase,status,deploymentSurface,verificationCommand,blockedLiveAction,rollbackRequirement
"current-production-snapshot","Current LC production snapshot","Master Admin","Pre-deployment","evidence_required","Current LC root, booking, auth, blog, team, LCFC, apply, legal, and admin routes","BASE_URL=<current-production-url> npm run test -- --run","Do not replace the current LC root shell until rollback evidence is saved.","Restore the recorded LC deployment or routing target if promotion fails."
"vercel-project-and-cli","Vercel project link and CLI readiness","Master Admin","Hosting","evidence_required",".vercel project link, Vercel CLI, deployment target, and build settings","vercel --version && npm run build","Do not schedule promotion until the hosting target and CLI version are recorded.","Keep the previous production deployment available as the rollback target."
"spa-routing-config","SPA routing and rewrite config","Master Admin","Hosting","preview_ready","vercel.json and Vite static output","BASE_URL=<production-preview-url> npm run verify:dynamo","Do not add permanent redirects until redirect exclusions are approved.","Remove redirect rules and keep the SPA rewrite if cutover is paused."
"production-preview-build","Production-preview build proof","Master Admin","Build","preview_ready","Vite build output and static Detroit Dynamo assets","npm run lint && npm run typecheck && npm run build","Do not promote an unverified build artifact.","Redeploy the last verified LC build if the Dynamo build fails after promotion."
"client-env-production-preview","Client environment variable readiness","Master Admin","Environment","evidence_required","VITE_APPWRITE_ENDPOINT and VITE_APPWRITE_PROJECT_ID in hosting environment","npm run preflight:dynamo-backend","Do not make Appwrite intake the default until production-preview env values are verified.","Switch public forms back to local preview/fallback mode if live intake fails."
"server-env-and-functions","Server function environment readiness","Master Admin","Backend","evidence_required","Appwrite function variables, scopes, bootstrap admin, and dd_* collections","npm run preflight:dynamo-backend","Do not enable protected admin live writes until function variables and trusted roles are verified.","Disable Appwrite write mode and return to local preview mode if functions fail."
"production-preview-form-and-admin-smoke","Production-preview form and admin smoke","Registrar","Backend","evidence_required","Public forms, Appwrite records, protected admin actions, and audit events","BASE_URL=<production-preview-url> npm run qa:dynamo-browser","Do not record production submissions or enable live admin operations until smoke proof is attached.","Disable live intake and archive failed test records if production-preview smoke fails."
"seo-indexing-and-domain","SEO, indexing, and domain readiness","Media/Admin Staff","SEO","preview_only","Domain, canonical URLs, robots, sitemap, Open Graph, favicon, and noindex controls","BASE_URL=<production-preview-url> npm run verify:dynamo","Do not remove preview noindex or publish root Dynamo metadata before SEO approval.","Restore LC root metadata and reapply preview noindex if launch is reversed."
"redirect-domain-cutover","Redirect and domain cutover readiness","Master Admin","Promotion","blocked_until_approval","Root route, old LC public paths, Dynamo aliases, redirects, and callback exclusions","BASE_URL=<production-url> npm run verify:dynamo","Do not apply permanent redirects or canonical migration before promotion approval.","Disable redirect rules and restore old LC public routes as canonical paths if needed."
"post-launch-monitoring-and-rollback","Post-launch monitoring and rollback readiness","Master Admin","Post-launch","evidence_required","Post-launch browser QA, route smoke, forms, admin, booking, payment, waiver, and owner closeout","BASE_URL=<production-url> npm run qa:dynamo-browser","Do not close the launch window until post-launch QA and rollback readiness are documented.","Trigger rollback if root, booking, forms, payments, waivers, auth, admin, or legal/support flows fail."
